t sigma_z_10 sigma_z_20 sigma_z_30 sigma_z_40
22.484969939879758 0.11308532600395217 -0.16902847138378133 -0.29700816726033374 -0.31337158236633395
22.54509018036072 0.11324481918268507 -0.1702428648049231 -0.2974851932226531 -0.31429452278835734
22.605210420841683 0.11322198145581142 -0.17151565644739258 -0.29812023723760755 -0.31489866434231417
22.665330661322646 0.11272268910091125 -0.17246965863910663 -0.298583929371771 -0.31548139270577824
22.725450901803605 0.11211059296175145 -0.17329827408405468 -0.2991573421392396 -0.31577023844896546
22.785571142284567 0.11134800299223448 -0.1744906567489704 -0.29961920085272004 -0.3161990508657047
22.84569138276553 0.1106461855141693 -0.17542518319856207 -0.29993975967302877 -0.31631120072658975
22.905811623246493 0.10985619539491863 -0.1758108859519869 -0.3004484244598057 -0.3163110880429457
22.965931863727455 0.10955638329217747 -0.17616806646630853 -0.30097042165588006 -0.31661568851977895
23.026052104208414 0.10944747913130366 -0.17634014898533978 -0.3016516362171987 -0.3167012802495881
23.086172344689377 0.10940291813972829 -0.17624650117700152 -0.30259964030468783 -0.3167986731728279
23.14629258517034 0.10925320286072426 -0.17628583867121161 -0.30346098206515637 -0.3172696190522809
23.206412825651302 0.10895214391786298 -0.17622193754189786 -0.3043296344157407 -0.3174410595746111
23.266533066132265 0.10925703249558151 -0.17598905886998764 -0.30513169915965516 -0.31760872998275164
23.326653306613224 0.10952052054914016 -0.17578830521585062 -0.3060550399599153 -0.3178110274061607
23.386773547094187 0.10960980982348453 -0.17587437208791848 -0.30727404326884544 -0.3176774890974443
23.44689378757515 0.10970345282756701 -0.17592232644859368 -0.30858723082594636 -0.31756271490192306
23.507014028056112 0.1094158369352693 -0.17606862210795082 -0.30976082621490425 -0.3176333115655323
