t sigma_zs_1em3 max_bond_dim_1em3 sigma_zs_1em4 max_bond_dim_1em4 sigma_zs_1em5 max_bond_dim_1em5 
6.744496330887258 -0.26780195183178296 3.0919 -0.2642873019197499 4.0009 -0.2675201354652423 5.9999 
6.76450967311541 -0.26763310348279085 3.0915 -0.26413364820736157 4.0009 -0.2677409546949947 5.9999 
6.784523015343562 -0.2681111704964003 3.0914 -0.2642381958467766 4.0009 -0.2684634812582547 5.9999 
6.804536357571714 -0.26911626482101353 3.0914 -0.26530739670404824 4.0009 -0.26950118835411224 5.9999 
6.824549699799866 -0.27046435221678483 3.0913 -0.2664184169417921 4.0009 -0.2709795098471842 5.9999 
6.844563042028018 -0.2724139534181496 3.0912 -0.26803617834845744 4.0009 -0.2727781055533453 5.9999 
6.8645763842561704 -0.27572636698643654 3.0911 -0.27029246441965477 4.0009 -0.27491208040701964 5.9999 
6.8845897264843225 -0.2789926023715064 3.0912 -0.2728197216092283 4.0009 -0.27762297358809707 6.0 
6.904603068712475 -0.2825682703436395 3.0914 -0.2753456217951819 4.0009 -0.2808013655599398 6.0 
6.924616410940627 -0.2869376266848415 3.0913 -0.27827368970625505 4.0009 -0.2847066285972998 6.0 
6.944629753168779 -0.2911418522416523 3.0911 -0.28212952032581057 4.0009 -0.28978198475329425 6.0 
6.964643095396931 -0.29566201106915907 3.0909 -0.2871905320967577 4.0009 -0.29528133938296075 6.0 
6.984656437625083 -0.3005495752842379 3.0911 -0.2926155711644071 4.0009 -0.30127325647672204 6.0 
7.004669779853235 -0.3061526425291014 3.091 -0.2987422815464789 4.0009 -0.30708748357298377 6.0 
7.024683122081387 -0.3124676540659656 3.0913 -0.3049163689700928 4.0008 -0.3131604906159679 6.0 
7.044696464309539 -0.3195437934134981 3.0916 -0.31170280893975605 4.0007 -0.3193488315705739 6.0 
7.064709806537691 -0.32668400119159 3.0918 -0.31890907995813567 4.0007 -0.32612637026013636 6.0 
7.0847231487658435 -0.3339316567212587 3.0918 -0.32587810844552306 4.0007 -0.3333037922713406 6.0 
7.104736490993996 -0.3406854594423862 3.092 -0.3333738536168062 4.0007 -0.3406963658810005 6.0 
7.124749833222148 -0.34828362801269686 3.092 -0.34155007955198224 4.0007 -0.34875122300978445 6.0 
7.1447631754503 -0.3561067023636061 3.092 -0.349785325874168 4.0007 -0.3565933319361735 6.0 
